"title","authors","journal_date_doi","date","doi","volume_issue","pages","abstract","link"
"Pulmonary heart disease.","SODEMAN WA.","Dis Chest. 1948 May-Jun;14(3):360-5. doi: 10.1378/chest.14.3.360.","1948","10.1378/chest.14.3.360.","14(3)","360-5","","https://pubmed.ncbi.nlm.nih.gov/18858037/"
"Hypertension Is a Risk Factor for Several Types of Heart Disease: Review of Prospective Studies.","Kokubo Y, Matsumoto C.","Adv Exp Med Biol. 2017;956:419-426. doi: 10.1007/5584_2016_99.","2017","10.1007/5584_2016_99.","N/A","419-426","Many prospective cohort studies have demonstrated that hypertension is a strong risk factor for total mortality and cardiovascular disease (CVD). Heart disease includes coronary heart disease (CHD), heart failure, atrial fibrillation, val …","https://pubmed.ncbi.nlm.nih.gov/27815926/"
"Heart Disease Prevalence, Medical Costs Will Soar in US by 2050.","Harris E.","JAMA. 2024 Jul 23;332(4):273. doi: 10.1001/jama.2024.11026.","2024 Jul 23","10.1001/jama.2024.11026.","332(4)","N/A","","https://pubmed.ncbi.nlm.nih.gov/38941123/"
"Frailty and heart disease.","von Haehling S, Anker SD, Doehner W, Morley JE, Vellas B.","Int J Cardiol. 2013 Oct 3;168(3):1745-7. doi: 10.1016/j.ijcard.2013.07.068. Epub 2013 Aug 7.","2013 Oct 3","10.1016/j.ijcard.2013.07.068.","168(3)","1745-7","Its presence places the individual at risk for rapid deterioration when a major event such as myocardial infarction or hospitalization occurs. In patients with cardiovascular disease, frailty is about three times more prevalent than among elderly persons without. Screening …","https://pubmed.ncbi.nlm.nih.gov/23931976/"
"Heart disease in scleroderma.","BARRITT DW, O'BRIEN W.","Br Heart J. 1952 Jul;14(3):421-4. doi: 10.1136/hrt.14.3.421.","1952","10.1136/hrt.14.3.421.","14(3)","421-4","","https://pubmed.ncbi.nlm.nih.gov/14944735/"
"Pregnancy and heart disease: a review.","Thilén U, Olsson SB.","Eur J Obstet Gynecol Reprod Biol. 1997 Dec;75(1):43-50. doi: 10.1016/s0301-2115(97)00188-7.","1997","10.1016/s0301-2115(97)00188-7.","75(1)","43-50","About one per cent of all pregnancies are affected by maternal heart disease, which may have significant influence on the maternal and foetal outcome. In this context rheumatic heart disease is declining and congenital heart disease is be …","https://pubmed.ncbi.nlm.nih.gov/9447346/"
"Acquired heart disease in children is not necessarily rheumatic.","Agarwal N, Taneja S.","Trop Doct. 2019 Jul;49(3):181-184. doi: 10.1177/0049475519833513. Epub 2019 Mar 13.","2019","10.1177/0049475519833513.","49(3)","181-184","Acquired heart diseases (AHD) cause significant morbidity and mortality in children. There are limited studies on their burden in children. We conducted a retrospective study of 85 consecutive children diagnosed with AHD using clinical evaluation and echocardiograph …","https://pubmed.ncbi.nlm.nih.gov/30866753/"
"THYROTOXIC heart-disease.","[No authors listed]","Lancet. 1959 Nov 7;2(7106):776-7.","1959 Nov 7","N/A","2(7106)","776-7","","https://pubmed.ncbi.nlm.nih.gov/13857515/"
"Anxiety and psychological management of heart disease and heart surgery.","Riordan P, Davis M.","Handb Clin Neurol. 2021;177:393-408. doi: 10.1016/B978-0-12-819814-8.00026-3.","2021","10.1016/B978-0-12-819814-8.00026-3.","N/A","393-408","Anxiety is associated with many forms and facets of heart disease, and, by extension, neurologic manifestations of heart disease. Despite its seeming self-evidence, anxiety is challenging to consistently define, measure, and operationalize in the conte …","https://pubmed.ncbi.nlm.nih.gov/33632455/"
"Overview of Equine Cardiac Disease.","Bonagura JD.","Vet Clin North Am Equine Pract. 2019 Apr;35(1):1-22. doi: 10.1016/j.cveq.2019.01.001. Epub 2019 Mar 11.","2019","10.1016/j.cveq.2019.01.001.","35(1)","1-22","Equine heart diseases can be categorized with morphologic, etiologic, and physiologic diagnoses and classified anatomically as diseases of the pericardium, myocardium, valves (endocardium), and great vessels. ...Heart rhythm disturbances can occur in i …","https://pubmed.ncbi.nlm.nih.gov/30871827/"
"Coronary heart disease in women: a 'new' problem.","Wenger NK.","Hosp Pract (Off Ed). 1992 Nov 15;27(11):59-62, 64, 67 passim. doi: 10.1080/21548331.1992.11705523.","1992 Nov 15","10.1080/21548331.1992.11705523.","27(11)","59-62","Recent reports of ""sex bias"" in the management of heart disease serves to focus on a more fundamental problem. Too little is known about the biology of heart disease in women or the reasons for striking differences in women's risks, prognosis, and trea …","https://pubmed.ncbi.nlm.nih.gov/1429946/"
"The natriuretic peptides as biomarkers for adults with congenital heart disease.","Nir A, Luchner A, Rein AJ.","Biomark Med. 2012 Dec;6(6):827-37. doi: 10.2217/bmm.12.73.","2012","10.2217/bmm.12.73.","6(6)","827-37","Thanks to improved treatment of congenital heart disease early in life, many such patients reach adulthood. Adults with congenital heart disease are an increasing population, which will continue to grow in the future. ...The natriuretic peptides are im …","https://pubmed.ncbi.nlm.nih.gov/23227849/"
